quality,Prediction,index,Alcohol Imp,Chlorides Imp,Citric Acid Imp,Density Imp,Fixed Acidity Imp,Free Sulfur Dioxide Imp,Ph Imp,Residual Sugar Imp,Sulphates Imp,Total Sulfur Dioxide Imp,Volatile Acidity Imp,top_features,Alcohol,Chlorides,Citric Acid,Density,Fixed Acidity,Free Sulfur Dioxide,Ph,Residual Sugar,Sulphates,Total Sulfur Dioxide,Volatile Acidity
5,5.59,11,-0.23204888,0.076790735,0.0055945082999999994,-0.024887085,-0.09548824,-0.110268325,-0.030494554,0.007172052,0.014102085,0.020562068,0.083328426,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Free Sulfur Dioxide</neg_highlight> <neg_highlight>Fixed Acidity</neg_highlight> <pos_highlight>Volatile Acidity</pos_highlight> <pos_highlight>Chlorides</pos_highlight> <neg_highlight>Ph</neg_highlight>,9.7,0.035,0.4,0.9947,8.6,17.0,3.14,4.2,0.53,109.0,0.23
5,5.78,12,-0.0053720577,0.0011460856,-0.0014560857999999998,0.015140503999999999,-0.06253383,-0.16059259,-0.04593568,-0.12425587,0.036692247000000004,0.031780038,0.22080946,<pos_highlight>Volatile Acidity</pos_highlight> <neg_highlight>Free Sulfur Dioxide</neg_highlight> <neg_highlight>Residual Sugar</neg_highlight> <neg_highlight>Fixed Acidity</neg_highlight> <neg_highlight>Ph</neg_highlight> <pos_highlight>Sulphates</pos_highlight>,10.8,0.04,0.37,0.992,7.9,16.0,3.18,1.2,0.63,75.0,0.18
7,6.72,13,0.43930459999999993,-0.00861001,0.026029889,0.027582115,0.028720573,0.10934706,0.13151473,-0.054566313,0.0037496303999999996,0.024422863,0.11806039,<pos_highlight>Alcohol</pos_highlight> <pos_highlight>Ph</pos_highlight> <pos_highlight>Volatile Acidity</pos_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <neg_highlight>Residual Sugar</neg_highlight> <pos_highlight>Fixed Acidity</pos_highlight>,12.4,0.044000000000000004,0.4,0.9912,6.6,48.0,3.54,1.5,0.52,143.0,0.16
5,5.27,14,-0.30490159999999994,0.011623623000000001,-0.06703605,-0.030411046,-0.048983537,0.06007562599999999,-0.03321099,-0.05724282,0.043492,-0.019992858,-0.16512081,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Volatile Acidity</neg_highlight> <neg_highlight>Citric Acid</neg_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <neg_highlight>Residual Sugar</neg_highlight> <neg_highlight>Fixed Acidity</neg_highlight>,9.7,0.04,0.62,1.0002,8.3,41.0,2.98,19.25,0.67,172.0,0.42
7,6.36,15,0.16335286,0.05735772,0.023316072,0.01701536,0.027266856000000003,0.060605585999999996,0.045148548,-0.072772734,0.006889071,0.026230833,0.12611598,<pos_highlight>Alcohol</pos_highlight> <pos_highlight>Volatile Acidity</pos_highlight> <neg_highlight>Residual Sugar</neg_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <pos_highlight>Chlorides</pos_highlight> <pos_highlight>Ph</pos_highlight>,11.4,0.032,0.38,0.9914,6.6,28.0,3.25,1.5,0.55,112.0,0.17
6,5.1,16,-0.34338677,-0.011644729,-0.13856214,0.018846085,0.01617243,0.07381718599999999,-0.043360464,-0.12533703,-0.03860611,0.03718519,-0.21892609999999998,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Volatile Acidity</neg_highlight> <neg_highlight>Citric Acid</neg_highlight> <neg_highlight>Residual Sugar</neg_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <neg_highlight>Ph</neg_highlight>,9.6,0.046,0.04,0.9928,6.3,30.0,3.24,1.1,0.36,99.0,0.48
8,6.84,17,0.81137615,0.09332999,0.009030475999999999,0.047170624,0.033289168,0.084219664,0.1743267,-0.10652492,-0.041212122999999996,0.12455711,-0.26620933,<pos_highlight>Alcohol</pos_highlight> <neg_highlight>Volatile Acidity</neg_highlight> <pos_highlight>Ph</pos_highlight> <pos_highlight>Total Sulfur Dioxide</pos_highlight> <neg_highlight>Residual Sugar</neg_highlight> <pos_highlight>Chlorides</pos_highlight>,12.8,0.028999999999999998,0.48,0.9892,6.2,29.0,3.33,1.2,0.39,75.0,0.66
6,5.84,18,0.25663346,0.06758946,0.0051443190000000005,0.023463592000000002,-0.0025344528,-0.11298962,-0.047688268,-0.13843936,-0.00093258504,-0.007915025,-0.077880636,<pos_highlight>Alcohol</pos_highlight> <neg_highlight>Residual Sugar</neg_highlight> <neg_highlight>Free Sulfur Dioxide</neg_highlight> <neg_highlight>Volatile Acidity</neg_highlight> <pos_highlight>Chlorides</pos_highlight> <neg_highlight>Ph</neg_highlight>,11.3,0.033,0.42,0.9917,7.4,17.0,3.12,1.1,0.53,171.0,0.34
5,5.33,19,-0.36733875,0.013700323,-0.12777892,-0.019926395,0.014725392,0.08030184,-0.037180692,0.020135926000000002,-6.5417065e-05,0.030679002,-0.15231185,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Volatile Acidity</neg_highlight> <neg_highlight>Citric Acid</neg_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <neg_highlight>Ph</neg_highlight> <pos_highlight>Total Sulfur Dioxide</pos_highlight>,9.5,0.044000000000000004,0.14,0.9955,6.5,34.0,3.22,7.5,0.5,133.0,0.31
8,6.84,20,0.81137615,0.09332999,0.009030475999999999,0.047170624,0.033289168,0.084219664,0.1743267,-0.10652492,-0.041212122999999996,0.12455711,-0.26620933,<pos_highlight>Alcohol</pos_highlight> <neg_highlight>Volatile Acidity</neg_highlight> <pos_highlight>Ph</pos_highlight> <pos_highlight>Total Sulfur Dioxide</pos_highlight> <neg_highlight>Residual Sugar</neg_highlight> <pos_highlight>Chlorides</pos_highlight>,12.8,0.028999999999999998,0.48,0.9892,6.2,29.0,3.33,1.2,0.39,75.0,0.66
7,6.14,21,0.25844508,0.06692187,0.0046396054999999995,0.024861239,0.03231831,-0.0668057,-0.036460575,0.033829253,-0.017676723999999998,0.032104336000000004,-0.07197761,<pos_highlight>Alcohol</pos_highlight> <neg_highlight>Volatile Acidity</neg_highlight> <pos_highlight>Chlorides</pos_highlight> <neg_highlight>Free Sulfur Dioxide</neg_highlight> <neg_highlight>Ph</neg_highlight> <pos_highlight>Residual Sugar</pos_highlight>,11.0,0.038,0.38,0.9912,6.4,19.0,3.17,2.9,0.35,102.0,0.31
8,6.05,22,-0.09289719,-0.04346065599999999,0.021814171,0.029360667000000003,0.021279742999999997,0.101653256,0.14653583,-0.022463873,0.0013208449,0.035379924,-0.025508162999999997,<pos_highlight>Ph</pos_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <neg_highlight>Alcohol</neg_highlight> <neg_highlight>Chlorides</neg_highlight> <pos_highlight>Total Sulfur Dioxide</pos_highlight> <pos_highlight>Density</pos_highlight>,10.5,0.049,0.42,0.993,6.8,41.0,3.47,1.7,0.48,122.0,0.26
5,4.61,23,-0.33802309999999997,-0.1310536,-0.13095982,-0.0061323047,-0.003933496,0.015041993,-0.038651884,-0.12530035,0.027437527000000003,-0.02356818,-0.5101473,<neg_highlight>Volatile Acidity</neg_highlight> <neg_highlight>Alcohol</neg_highlight> <neg_highlight>Chlorides</neg_highlight> <neg_highlight>Citric Acid</neg_highlight> <neg_highlight>Residual Sugar</neg_highlight> <neg_highlight>Ph</neg_highlight>,9.3,0.07400000000000001,0.14,0.9937,7.6,25.0,3.05,1.5,0.51,168.0,0.67
6,5.29,24,-0.27136509999999997,-0.08149808,0.03470656,-0.053692125,0.02219328,-0.13977574,0.11521766,-0.11966415,-0.03656043,0.022297313,-0.08015951,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Free Sulfur Dioxide</neg_highlight> <neg_highlight>Residual Sugar</neg_highlight> <pos_highlight>Ph</pos_highlight> <neg_highlight>Chlorides</neg_highlight> <neg_highlight>Volatile Acidity</neg_highlight>,10.0,0.052000000000000005,0.41,0.9951,6.6,16.0,3.42,1.3,0.47,142.0,0.27
6,5.77,25,-0.10123215,-0.05092781,0.042853285,-0.026043396,0.010395978,0.078946956,0.016389208,0.013845257,0.0003553511,-0.08493914,-0.010245024,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Total Sulfur Dioxide</neg_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <neg_highlight>Chlorides</neg_highlight> <pos_highlight>Citric Acid</pos_highlight> <neg_highlight>Density</neg_highlight>,10.4,0.046,0.32,0.9955,7.0,56.0,3.25,9.0,0.5,245.0,0.25
6,5.69,26,-0.25702798,-0.06809194,0.04058022,0.0270433,0.01970517,0.07703635,0.10710484,-0.11026049,-0.045138295999999994,0.025277703999999998,-0.007355009,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Residual Sugar</neg_highlight> <pos_highlight>Ph</pos_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <neg_highlight>Chlorides</neg_highlight> <neg_highlight>Sulphates</neg_highlight>,10.0,0.052000000000000005,0.35,0.993,6.9,35.0,3.45,1.0,0.44,146.0,0.24
6,5.87,27,-0.08923795,-0.086010374,0.02769583,-0.06609897,0.017294063999999998,0.08422308,0.11213855,0.032346755,0.004797336,0.02715859,-0.06757651,<pos_highlight>Ph</pos_highlight> <neg_highlight>Alcohol</neg_highlight> <neg_highlight>Chlorides</neg_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <neg_highlight>Volatile Acidity</neg_highlight> <neg_highlight>Density</neg_highlight>,10.5,0.051,0.39,0.9961,7.0,32.0,3.38,8.7,0.53,141.0,0.28
6,5.8,28,0.2636648,-0.033327058,-0.0033433195,0.020026632,0.0021548267,-0.12694404,-0.038263056000000004,-0.13160802,-0.006196324699999999,0.021747777000000003,-0.04615626,<pos_highlight>Alcohol</pos_highlight> <neg_highlight>Residual Sugar</neg_highlight> <neg_highlight>Free Sulfur Dioxide</neg_highlight> <neg_highlight>Volatile Acidity</neg_highlight> <neg_highlight>Ph</neg_highlight> <neg_highlight>Chlorides</neg_highlight>,11.6,0.047,0.48,0.9914,7.4,17.0,3.19,1.1,0.49,132.0,0.27
7,6.75,29,0.58665735,0.06992101,0.037971057,0.016829787,0.02587079,0.116356365,-0.042409647,-0.021305447,0.102341585,0.04405605,-0.06155594,<pos_highlight>Alcohol</pos_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <pos_highlight>Sulphates</pos_highlight> <pos_highlight>Chlorides</pos_highlight> <neg_highlight>Volatile Acidity</neg_highlight> <pos_highlight>Total Sulfur Dioxide</pos_highlight>,12.3,0.033,0.36,0.9906,7.2,37.0,3.1,2.0,0.71,114.0,0.32
6,5.5,30,-0.21293001,0.009455536,0.0057946793,-0.04516404,-0.08900148,-0.09994162,-0.024633613999999998,0.05735732599999999,0.018716431999999998,0.011972086000000002,-0.013385406,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Free Sulfur Dioxide</neg_highlight> <neg_highlight>Fixed Acidity</neg_highlight> <pos_highlight>Residual Sugar</pos_highlight> <neg_highlight>Density</neg_highlight> <neg_highlight>Ph</neg_highlight>,10.0,0.044000000000000004,0.39,0.9974,8.5,20.0,3.2,10.4,0.53,142.0,0.24
6,5.64,31,-0.079397455,0.03272305,0.04393559,0.03634896,-0.10188064,-0.38543925,0.09274310599999999,-0.14249328,-0.021959541000000003,-0.057804867999999995,0.34876218,<neg_highlight>Free Sulfur Dioxide</neg_highlight> <pos_highlight>Volatile Acidity</pos_highlight> <neg_highlight>Residual Sugar</neg_highlight> <neg_highlight>Fixed Acidity</neg_highlight> <pos_highlight>Ph</pos_highlight> <neg_highlight>Alcohol</neg_highlight>,10.2,0.042,0.34,0.9934,8.3,7.0,3.47,1.1,0.4,47.0,0.14
6,6.01,32,0.04198401400000001,-0.07061492,0.043101504000000006,0.025974867999999998,0.016561883,0.0906581,-0.026099663,-0.0029437896000000002,-0.027399662999999998,0.033742275,0.007897243,<pos_highlight>Free Sulfur Dioxide</pos_highlight> <neg_highlight>Chlorides</neg_highlight> <pos_highlight>Citric Acid</pos_highlight> <pos_highlight>Alcohol</pos_highlight> <pos_highlight>Total Sulfur Dioxide</pos_highlight> <neg_highlight>Sulphates</neg_highlight>,10.8,0.05,0.36,0.992,7.4,31.0,3.19,2.05,0.44,100.0,0.25
6,6.11,33,-0.27303505,-0.041338738,0.053982432999999996,-0.0072036525,0.00034243733,0.09512441,0.102161825,-0.06176066400000001,0.008313355,0.030017488,0.32486185,<pos_highlight>Volatile Acidity</pos_highlight> <neg_highlight>Alcohol</neg_highlight> <pos_highlight>Ph</pos_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <neg_highlight>Residual Sugar</neg_highlight> <pos_highlight>Citric Acid</pos_highlight>,9.0,0.045,0.34,0.9939,6.2,43.0,3.42,1.5,0.51,117.0,0.12
5,5.42,34,-0.22085057,0.002659755,-0.13127317,-0.06944086,0.0068613514,-0.055311705999999995,0.08170424400000001,0.08832112,-0.029377852000000003,-0.050877362,-0.07715088,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Citric Acid</neg_highlight> <pos_highlight>Residual Sugar</pos_highlight> <pos_highlight>Ph</pos_highlight> <neg_highlight>Volatile Acidity</neg_highlight> <neg_highlight>Density</neg_highlight>,10.2,0.044000000000000004,0.2,0.9962,5.8,22.0,3.37,14.95,0.37,179.0,0.27
5,5.84,35,0.52236825,-0.28871846,-0.021554612,0.005899895400000001,-0.00794195,-0.100297414,-0.03636432,-0.06896488,-0.021680387000000002,0.030630853,-0.046573233,<pos_highlight>Alcohol</pos_highlight> <neg_highlight>Chlorides</neg_highlight> <neg_highlight>Free Sulfur Dioxide</neg_highlight> <neg_highlight>Residual Sugar</neg_highlight> <neg_highlight>Volatile Acidity</neg_highlight> <neg_highlight>Ph</neg_highlight>,12.8,0.08,0.43,0.9905,7.3,21.0,3.19,1.7,0.42,123.0,0.28
5,5.26,36,-0.30076987,-0.09024149,-0.14511162,0.050027493,0.01056202,0.025738652999999997,-0.03505444,0.023319202,-0.025441032000000002,0.027834677999999998,-0.157315,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Volatile Acidity</neg_highlight> <neg_highlight>Citric Acid</neg_highlight> <neg_highlight>Chlorides</neg_highlight> <pos_highlight>Density</pos_highlight> <neg_highlight>Ph</neg_highlight>,10.0,0.051,0.23,0.9934,6.5,25.0,3.24,5.4,0.35,149.0,0.39
6,6.0,37,0.2592157,-0.06368973,0.05380331,0.017511433,0.019422755,0.09196186,-0.03659379,-0.12022981,-0.043996044000000005,0.028689999999999997,-0.08202925,<pos_highlight>Alcohol</pos_highlight> <neg_highlight>Residual Sugar</neg_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <neg_highlight>Volatile Acidity</neg_highlight> <neg_highlight>Chlorides</neg_highlight> <pos_highlight>Citric Acid</pos_highlight>,11.2,0.053,0.32,0.9906,7.0,38.0,3.13,1.2,0.28,138.0,0.33
5,5.25,38,-0.36153448,-0.06447144,0.0061020423,-0.04183795,0.010937094,0.05529256,-0.052134313,-0.08494822,-0.045923165999999994,-0.0014325875,-0.052077677,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Residual Sugar</neg_highlight> <neg_highlight>Chlorides</neg_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <neg_highlight>Ph</neg_highlight> <neg_highlight>Volatile Acidity</neg_highlight>,8.6,0.057,0.39,0.9999,7.3,45.0,3.21,17.95,0.36,149.0,0.24
5,5.25,39,-0.36153448,-0.06447144,0.0061020423,-0.04183795,0.010937094,0.05529256,-0.052134313,-0.08494822,-0.045923165999999994,-0.0014325875,-0.052077677,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Residual Sugar</neg_highlight> <neg_highlight>Chlorides</neg_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <neg_highlight>Ph</neg_highlight> <neg_highlight>Volatile Acidity</neg_highlight>,8.6,0.057,0.39,0.9999,7.3,45.0,3.21,17.95,0.36,149.0,0.24
6,5.64,40,-0.27779973,-0.06835729,0.019289857,-0.0136424815,0.022307782999999998,0.06009839,-0.023233003999999998,-0.007550845400000001,-0.020547818,-0.008032431,0.077940375,<neg_highlight>Alcohol</neg_highlight> <pos_highlight>Volatile Acidity</pos_highlight> <neg_highlight>Chlorides</neg_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <neg_highlight>Ph</neg_highlight> <pos_highlight>Fixed Acidity</pos_highlight>,9.4,0.172,0.39,0.9937,6.7,63.0,3.11,2.5,0.36,158.0,0.23
6,5.55,41,-0.29881012,-0.06835729,0.017692043,-0.0136693325,0.018066559,0.063116856,-0.022736229,0.0033473546999999997,-0.020547818,-0.008211537,-0.0024426263,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Chlorides</neg_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <neg_highlight>Ph</neg_highlight> <neg_highlight>Sulphates</neg_highlight> <pos_highlight>Fixed Acidity</pos_highlight>,9.4,0.17300000000000001,0.39,0.9937,6.7,63.0,3.1,2.9,0.34,157.0,0.24
6,5.34,42,-0.28312683,-0.09900752,-0.038653634,-0.022238944,0.014811221999999999,0.058409207000000005,-0.017240483,0.034450974,-0.018553073,-0.0030190171999999998,-0.16091943,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Volatile Acidity</neg_highlight> <neg_highlight>Chlorides</neg_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <neg_highlight>Citric Acid</neg_highlight> <pos_highlight>Residual Sugar</pos_highlight>,9.8,0.069,0.26,0.9954,7.0,28.0,3.13,7.4,0.46,160.0,0.31
6,5.69,43,-0.29861609999999994,-0.06687099,0.08259674,0.037140645,0.019850755,0.07117222,-0.04290922,-0.079483576,0.055251624000000006,0.034258302000000004,0.0029530833,<neg_highlight>Alcohol</neg_highlight> <pos_highlight>Citric Acid</pos_highlight> <neg_highlight>Residual Sugar</neg_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <neg_highlight>Chlorides</neg_highlight> <pos_highlight>Sulphates</pos_highlight>,9.5,0.057,0.27,0.9934,6.6,33.0,3.22,1.4,0.56,152.0,0.24
6,5.64,44,-0.30229944,-0.07641354,-0.04433106,0.040903464,0.022696192999999996,0.07721397,-0.042051632,-0.08152961,0.055551294,0.033746477000000004,0.07785203,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Residual Sugar</neg_highlight> <pos_highlight>Volatile Acidity</pos_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <neg_highlight>Chlorides</neg_highlight> <pos_highlight>Sulphates</pos_highlight>,9.5,0.06,0.26,0.9934,6.7,33.0,3.24,1.4,0.56,154.0,0.23
7,5.98,45,-0.19769223,-0.039313354,0.06656274,0.00812483,0.021655131,0.07602064,-0.029948186,-0.08419682,0.007256212,-0.010008951,0.28691924,<pos_highlight>Volatile Acidity</pos_highlight> <neg_highlight>Alcohol</neg_highlight> <neg_highlight>Residual Sugar</neg_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <pos_highlight>Citric Acid</pos_highlight> <neg_highlight>Chlorides</neg_highlight>,10.0,0.057999999999999996,0.31,0.9931,7.4,38.0,3.16,1.4,0.53,167.0,0.18
4,5.21,46,-0.30357295,-0.10900637,-0.05739588,-0.016992273000000002,0.010482641,0.0639535,0.021690737,-0.0019698918,0.00037138176,-0.101895,-0.17819655,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Volatile Acidity</neg_highlight> <neg_highlight>Chlorides</neg_highlight> <neg_highlight>Total Sulfur Dioxide</neg_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <neg_highlight>Citric Acid</neg_highlight>,9.8,0.063,0.26,0.9940000000000001,6.2,63.0,3.27,4.4,0.52,206.0,0.45
5,5.21,47,-0.30358183,-0.10900637,-0.057734046,-0.014705678,0.010482641,0.06395474,0.019465424,-0.0020235453,0.00037138176,-0.10155683,-0.17819655,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Volatile Acidity</neg_highlight> <neg_highlight>Chlorides</neg_highlight> <neg_highlight>Total Sulfur Dioxide</neg_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <neg_highlight>Citric Acid</neg_highlight>,9.8,0.066,0.25,0.9939,6.2,62.0,3.25,4.4,0.52,207.0,0.46
6,5.34,48,-0.28312683,-0.09900752,-0.038653634,-0.022238944,0.014811221999999999,0.058409207000000005,-0.017240483,0.034450974,-0.018553073,-0.0030190171999999998,-0.16091943,<neg_highlight>Alcohol</neg_highlight> <neg_highlight>Volatile Acidity</neg_highlight> <neg_highlight>Chlorides</neg_highlight> <pos_highlight>Free Sulfur Dioxide</pos_highlight> <neg_highlight>Citric Acid</neg_highlight> <pos_highlight>Residual Sugar</pos_highlight>,9.8,0.069,0.26,0.9954,7.0,28.0,3.13,7.4,0.46,160.0,0.31
