index,Churn,Prediction,Probability,Monthlycharges Imp,Totalcharges Imp,Tenure Imp,Internetservice Fiber Optic Imp,Longtermcustomer Yes Imp,top_features,Monthlycharges,Totalcharges,Tenure,Internetservice Fiber Optic,Longtermcustomer Yes
20,1,1.0,0.68,0.6141964,0.24779138,0.52337044,-0.3059192,0.8821101999999998,<pos_highlight>Longtermcustomer Yes</pos_highlight> <pos_highlight>Monthlycharges</pos_highlight> <pos_highlight>Tenure</pos_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <pos_highlight>Totalcharges</pos_highlight>,39.65,39.65,1,0,0
21,0,0.0,0.02,-1.0895674,-0.027991012000000003,0.013538158,-0.15158334,-1.559701,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <neg_highlight>Totalcharges</neg_highlight> <pos_highlight>Tenure</pos_highlight>,19.8,202.25,12,0,1
22,1,1.0,0.44,-0.8414324000000001,1.041361,0.31583455,-0.33105674,0.7691393,<pos_highlight>Totalcharges</pos_highlight> <neg_highlight>Monthlycharges</neg_highlight> <pos_highlight>Longtermcustomer Yes</pos_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <pos_highlight>Tenure</pos_highlight>,20.15,20.15,1,0,0
23,0,0.0,0.02,-0.68187624,-0.8351751000000001,0.11599471,-0.14600533,-1.4068402,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Totalcharges</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <pos_highlight>Tenure</pos_highlight>,59.9,3505.1,58,0,1
24,0,0.0,0.09,-0.6071734000000001,-0.57030046,-0.3687959,-0.24395010000000003,0.6386101,<pos_highlight>Longtermcustomer Yes</pos_highlight> <neg_highlight>Monthlycharges</neg_highlight> <neg_highlight>Totalcharges</neg_highlight> <neg_highlight>Tenure</neg_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight>,59.6,2970.3,49,0,0
25,0,0.0,0.13,-0.43938649999999996,-0.16924742,-0.53753746,-0.30850136,0.7261767,<pos_highlight>Longtermcustomer Yes</pos_highlight> <neg_highlight>Tenure</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <neg_highlight>Totalcharges</neg_highlight>,55.3,1530.6,30,0,0
26,1,1.0,0.6,0.60320646,0.41716108,-0.34295574,0.19570215,0.74256927,<pos_highlight>Longtermcustomer Yes</pos_highlight> <pos_highlight>Monthlycharges</pos_highlight> <pos_highlight>Totalcharges</pos_highlight> <neg_highlight>Tenure</neg_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight>,99.35,4749.15,47,1,0
27,1,1.0,0.68,0.6141964,0.24779138,0.52337044,-0.3059192,0.8821101999999998,<pos_highlight>Longtermcustomer Yes</pos_highlight> <pos_highlight>Monthlycharges</pos_highlight> <pos_highlight>Tenure</pos_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <pos_highlight>Totalcharges</pos_highlight>,30.2,30.2,1,0,0
28,0,0.0,0.01,-0.8603748999999999,-0.16043568,-0.7998134,-0.06797209,-1.5212867,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight> <neg_highlight>Tenure</neg_highlight> <neg_highlight>Totalcharges</neg_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight>,90.25,6369.45,72,0,1
29,1,0.0,0.21,-0.51337636,0.33584169999999997,-0.34142253,-0.3194283,0.69603556,<pos_highlight>Longtermcustomer Yes</pos_highlight> <neg_highlight>Monthlycharges</neg_highlight> <neg_highlight>Tenure</neg_highlight> <pos_highlight>Totalcharges</pos_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight>,64.7,1093.1,17,0,0
30,0,0.0,0.02,0.08143146,-0.16218713,-0.84207165,0.1189853,-1.7880896000000002,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Tenure</neg_highlight> <neg_highlight>Totalcharges</neg_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight> <pos_highlight>Monthlycharges</pos_highlight>,96.35,6766.95,71,1,1
31,0,1.0,0.78,0.35181025,0.28755337,0.44450470000000003,0.35332638,1.031395,<pos_highlight>Longtermcustomer Yes</pos_highlight> <pos_highlight>Tenure</pos_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight> <pos_highlight>Monthlycharges</pos_highlight> <pos_highlight>Totalcharges</pos_highlight>,95.5,181.65,2,1,0
32,0,0.0,0.02,-0.6472866,-0.39031452,-0.11489304,-0.167979,-1.6366901000000003,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight> <neg_highlight>Totalcharges</neg_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <neg_highlight>Tenure</neg_highlight>,66.15,1874.45,27,0,1
33,0,0.0,0.19,-1.3778721999999999,0.40500143,0.29798815,-0.33105674,0.7509585999999999,<neg_highlight>Monthlycharges</neg_highlight> <pos_highlight>Longtermcustomer Yes</pos_highlight> <pos_highlight>Totalcharges</pos_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <pos_highlight>Tenure</pos_highlight>,20.2,20.2,1,0,0
34,0,1.0,0.45,0.09040891,-0.18503155,0.5128804,-0.3059192,0.8821101999999998,<pos_highlight>Longtermcustomer Yes</pos_highlight> <pos_highlight>Tenure</pos_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <neg_highlight>Totalcharges</neg_highlight> <pos_highlight>Monthlycharges</pos_highlight>,45.25,45.25,1,0,0
35,0,0.0,0.02,0.22216992,-0.15221378,-0.84207165,0.1189853,-1.8730881999999998,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Tenure</neg_highlight> <pos_highlight>Monthlycharges</pos_highlight> <neg_highlight>Totalcharges</neg_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight>,99.9,7251.7,72,1,1
36,1,1.0,0.54,-0.35228696,-0.052144613,0.39102420000000004,0.36917990000000006,1.0165249,<pos_highlight>Longtermcustomer Yes</pos_highlight> <pos_highlight>Tenure</pos_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight> <neg_highlight>Monthlycharges</neg_highlight> <neg_highlight>Totalcharges</neg_highlight>,69.7,316.9,5,1,0
37,0,0.0,0.08,-0.3055562,-1.2781491000000003,-0.5618354,0.21037175,0.6827565,<neg_highlight>Totalcharges</neg_highlight> <pos_highlight>Longtermcustomer Yes</pos_highlight> <neg_highlight>Tenure</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight>,74.8,3548.3,46,1,0
38,1,1.0,0.41,1.3906385,-0.9733769,-0.55035985,0.19570215,0.78039813,<pos_highlight>Monthlycharges</pos_highlight> <neg_highlight>Totalcharges</neg_highlight> <pos_highlight>Longtermcustomer Yes</pos_highlight> <neg_highlight>Tenure</neg_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight>,106.35,3549.25,34,1,0
39,1,1.0,0.78,0.60346246,0.40127125,0.09236264,0.38231403,1.0092835,<pos_highlight>Longtermcustomer Yes</pos_highlight> <pos_highlight>Monthlycharges</pos_highlight> <pos_highlight>Totalcharges</pos_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight> <pos_highlight>Tenure</pos_highlight>,97.85,1105.4,11,1,0
40,0,0.0,0.03,-0.5461026999999999,0.12035347,0.0046749576,-0.1672418,-1.625926,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <pos_highlight>Totalcharges</pos_highlight> <pos_highlight>Tenure</pos_highlight>,49.55,475.7,10,0,1
41,0,0.0,0.03,-0.6685398,0.78218216,-1.0003144,-0.14600533,-1.2382784,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Tenure</neg_highlight> <pos_highlight>Totalcharges</pos_highlight> <neg_highlight>Monthlycharges</neg_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight>,69.2,4872.35,70,0,1
42,0,0.0,0.02,-1.0816662000000001,-0.0758583,-0.12967652,-0.13034475,-1.357351,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <neg_highlight>Tenure</neg_highlight> <neg_highlight>Totalcharges</neg_highlight>,20.75,418.25,17,0,1
43,0,0.0,0.33,0.53979015,1.0045564,0.0024275905,-0.15513283,-0.8846394000000001,<pos_highlight>Totalcharges</pos_highlight> <neg_highlight>Longtermcustomer Yes</neg_highlight> <pos_highlight>Monthlycharges</pos_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <pos_highlight>Tenure</pos_highlight>,79.85,4861.45,63,0,1
44,0,0.0,0.26,0.23124126,0.013572457,-0.3041717,-0.34855092,0.59280556,<pos_highlight>Longtermcustomer Yes</pos_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <neg_highlight>Tenure</neg_highlight> <pos_highlight>Monthlycharges</pos_highlight> <pos_highlight>Totalcharges</pos_highlight>,76.2,981.45,13,0,0
45,0,0.0,0.1,0.1342063,-1.4013425,-0.5810373000000001,0.21037175,0.6435883000000001,<neg_highlight>Totalcharges</neg_highlight> <pos_highlight>Longtermcustomer Yes</pos_highlight> <neg_highlight>Tenure</neg_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight> <pos_highlight>Monthlycharges</pos_highlight>,84.5,3906.7,49,1,0
46,0,1.0,0.58,-0.090971194,0.5259951999999999,0.5339311999999999,-0.32011259999999997,0.8821101999999998,<pos_highlight>Longtermcustomer Yes</pos_highlight> <pos_highlight>Tenure</pos_highlight> <pos_highlight>Totalcharges</pos_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight>,49.25,97.0,2,0,0
47,1,1.0,0.82,0.5783708000000001,0.30267150000000004,0.5549155,0.36061957,0.9281226,<pos_highlight>Longtermcustomer Yes</pos_highlight> <pos_highlight>Monthlycharges</pos_highlight> <pos_highlight>Tenure</pos_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight> <pos_highlight>Totalcharges</pos_highlight>,80.65,144.15,2,1,0
48,0,0.0,0.06,0.5348508000000001,-0.7833441999999999,-0.1515317,-0.15513283,-0.9367731,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Totalcharges</neg_highlight> <pos_highlight>Monthlycharges</pos_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <neg_highlight>Tenure</neg_highlight>,79.75,4217.8,52,0,1
49,0,0.0,0.02,-0.6836664000000001,-0.9131867,0.27927116,-0.14600533,-1.4068402,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Totalcharges</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight> <pos_highlight>Tenure</pos_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight>,64.15,4254.1,69,0,1
50,0,0.0,0.03,-1.0417304,-1.3748421999999998,-0.59819376,0.13703659,0.6435883000000001,<neg_highlight>Totalcharges</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight> <pos_highlight>Longtermcustomer Yes</pos_highlight> <neg_highlight>Tenure</neg_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight>,90.25,3838.75,43,1,0
51,1,1.0,0.62,0.71152914,0.023672573,-0.26243183,0.29926258,0.9121303,<pos_highlight>Longtermcustomer Yes</pos_highlight> <pos_highlight>Monthlycharges</pos_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight> <neg_highlight>Tenure</neg_highlight> <pos_highlight>Totalcharges</pos_highlight>,99.1,1426.4,15,1,0
52,0,0.0,0.14,-0.59156454,-0.14613625,-0.29071003,-0.3194283,0.7261767,<pos_highlight>Longtermcustomer Yes</pos_highlight> <neg_highlight>Monthlycharges</neg_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <neg_highlight>Tenure</neg_highlight> <neg_highlight>Totalcharges</neg_highlight>,69.5,1752.65,25,0,0
53,1,1.0,0.73,0.5239742000000001,0.29577586,0.1295161,0.38960722,0.86155,<pos_highlight>Longtermcustomer Yes</pos_highlight> <pos_highlight>Monthlycharges</pos_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight> <pos_highlight>Totalcharges</pos_highlight> <pos_highlight>Tenure</pos_highlight>,80.65,633.3,8,1,0
54,0,0.0,0.06,-0.42564598,-0.13604502,0.13261232,-0.15513283,-1.0042346,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <neg_highlight>Totalcharges</neg_highlight> <pos_highlight>Tenure</pos_highlight>,74.85,4456.35,60,0,1
55,1,1.0,0.58,0.6704287,0.069227204,-0.34142932,0.27849853,0.87208945,<pos_highlight>Longtermcustomer Yes</pos_highlight> <pos_highlight>Monthlycharges</pos_highlight> <neg_highlight>Tenure</neg_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight> <pos_highlight>Totalcharges</pos_highlight>,95.45,1752.55,18,1,0
56,0,0.0,0.04,0.32792053,-0.45816174,-0.077878274,0.1189853,-1.8730881999999998,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Totalcharges</neg_highlight> <pos_highlight>Monthlycharges</pos_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight> <neg_highlight>Tenure</neg_highlight>,99.65,6311.2,63,1,1
57,0,0.0,0.07,0.019047523,-0.12154546,0.11292379,0.1189853,-1.5812386,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Totalcharges</neg_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight> <pos_highlight>Tenure</pos_highlight> <pos_highlight>Monthlycharges</pos_highlight>,108.45,7076.35,66,1,1
58,0,0.0,0.03,-0.42797570000000007,-0.10015041,-0.33173504,-0.13034475,-1.3808492,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight> <neg_highlight>Tenure</neg_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <neg_highlight>Totalcharges</neg_highlight>,24.95,894.3,34,0,1
59,0,0.0,0.03,0.0040121856,0.012860345,-0.7922983,0.1189853,-1.5812386,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Tenure</neg_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight> <pos_highlight>Totalcharges</pos_highlight> <pos_highlight>Monthlycharges</pos_highlight>,107.5,7853.7,72,1,1
60,0,0.0,0.16,0.49884668,-1.2431108,-0.48940617,0.19570215,0.6183111,<neg_highlight>Totalcharges</neg_highlight> <pos_highlight>Longtermcustomer Yes</pos_highlight> <pos_highlight>Monthlycharges</pos_highlight> <neg_highlight>Tenure</neg_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight>,100.5,4707.1,47,1,0
61,0,0.0,0.11,-1.0522839,-0.46414426,-0.23478469,0.13703659,0.78395826,<neg_highlight>Monthlycharges</neg_highlight> <pos_highlight>Longtermcustomer Yes</pos_highlight> <neg_highlight>Totalcharges</neg_highlight> <neg_highlight>Tenure</neg_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight>,89.9,5450.7,60,1,0
62,0,0.0,0.03,0.35826775,-0.28104824,-0.8452356,-0.09428238,-1.4791651000000001,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Tenure</neg_highlight> <pos_highlight>Monthlycharges</pos_highlight> <neg_highlight>Totalcharges</neg_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight>,42.1,2962.0,72,0,1
63,0,0.0,0.03,-0.54299,0.007312768000000001,-0.13196602,-0.14600323,-1.46708,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <neg_highlight>Tenure</neg_highlight> <pos_highlight>Totalcharges</pos_highlight>,54.4,957.1,18,0,1
64,1,1.0,0.74,0.4290960999999999,0.36680013,0.12926733,0.38231403,0.94394606,<pos_highlight>Longtermcustomer Yes</pos_highlight> <pos_highlight>Monthlycharges</pos_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight> <pos_highlight>Totalcharges</pos_highlight> <pos_highlight>Tenure</pos_highlight>,94.4,857.25,9,1,0
65,0,0.0,0.33,-0.22664154,-0.065269545,0.31261632,-0.38493094,0.87804574,<pos_highlight>Longtermcustomer Yes</pos_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <pos_highlight>Tenure</pos_highlight> <neg_highlight>Monthlycharges</neg_highlight> <neg_highlight>Totalcharges</neg_highlight>,75.3,244.1,3,0,0
66,0,0.0,0.07,0.7658039000000001,-0.8928005999999999,-0.27595997,0.1336549,-1.0480968000000002,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Totalcharges</neg_highlight> <pos_highlight>Monthlycharges</pos_highlight> <neg_highlight>Tenure</neg_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight>,78.9,3650.35,47,1,1
67,0,0.0,0.08,0.7310432,-0.21438739,-0.3512761,-0.17710653,-1.2830515,<neg_highlight>Longtermcustomer Yes</neg_highlight> <pos_highlight>Monthlycharges</pos_highlight> <neg_highlight>Tenure</neg_highlight> <neg_highlight>Totalcharges</neg_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight>,79.2,2497.2,31,0,1
68,0,0.0,0.02,-0.90485245,-0.027698737,-0.12395202,-0.13034475,-1.5372052999999999,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <neg_highlight>Tenure</neg_highlight> <neg_highlight>Totalcharges</neg_highlight>,20.15,930.9,50,0,1
69,0,1.0,0.52,0.17163765,-0.21412784,0.1295161,0.38960722,0.8040972,<pos_highlight>Longtermcustomer Yes</pos_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight> <neg_highlight>Totalcharges</neg_highlight> <pos_highlight>Monthlycharges</pos_highlight> <pos_highlight>Tenure</pos_highlight>,79.85,887.35,10,1,0
70,0,1.0,0.56,-0.06859023,0.43226284,0.5339311999999999,-0.32011259999999997,0.8821101999999998,<pos_highlight>Longtermcustomer Yes</pos_highlight> <pos_highlight>Tenure</pos_highlight> <pos_highlight>Totalcharges</pos_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight>,49.05,49.05,1,0,0
71,0,0.0,0.04,-0.80862635,0.45297912,-0.11929633,-0.13034475,-1.4229441999999999,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight> <pos_highlight>Totalcharges</pos_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <neg_highlight>Tenure</neg_highlight>,20.4,1090.65,52,0,1
72,0,0.0,0.02,-0.96948415,-0.20417419,-0.091115184,0.1189853,-1.5812386,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight> <neg_highlight>Totalcharges</neg_highlight> <pos_highlight>Internetservice Fiber Optic</pos_highlight> <neg_highlight>Tenure</neg_highlight>,111.6,7099.0,64,1,1
73,0,0.0,0.03,-0.5376074000000001,-0.21885963,0.19143110000000002,-0.13034475,-1.6863052,<neg_highlight>Longtermcustomer Yes</neg_highlight> <neg_highlight>Monthlycharges</neg_highlight> <neg_highlight>Totalcharges</neg_highlight> <pos_highlight>Tenure</pos_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight>,24.25,1424.6,62,0,1
74,0,0.0,0.37,-0.39336553,0.17416352,0.42491130000000005,-0.3758034,0.8655719000000001,<pos_highlight>Longtermcustomer Yes</pos_highlight> <pos_highlight>Tenure</pos_highlight> <neg_highlight>Monthlycharges</neg_highlight> <neg_highlight>Internetservice Fiber Optic</neg_highlight> <pos_highlight>Totalcharges</pos_highlight>,64.5,177.4,3,0,0
